Round,Loss
1,0.013188892108051494
2,0.0038172928267481442
3,0.0030642557591384714
4,0.0028093819397644704
5,0.0030339151367225186
6,0.0027226552438797736
7,0.002690535169719789
8,0.002669230939674947
9,0.0026637604819371684
10,0.0026400203509669095
11,0.0025907181434786206
12,0.002664123572077275
13,0.002546870547815458
14,0.0025774847215165888
15,0.0026338085702683027
16,0.002645410273819962
17,0.002528771097012886
18,0.0025707819373908475
19,0.0025960172425369154
20,0.0025484236457550256
21,0.0025529537918309556
22,0.002621234198962199
23,0.002606916201903948
24,0.0027080128845500353
25,0.002580612659464363
26,0.0026024383888397337
27,0.0025218886556536897
28,0.0025401574025886733
29,0.0025160664297465326
30,0.0025051134391956315
1,0.004838121330442567
2,0.0029292807928178364
3,0.0027324794027865015
4,0.0026819911471410766
5,0.0025263074966017387
6,0.002543460709034341
7,0.002537784594169724
8,0.002584520805958817
9,0.002495009321430395
10,0.0024909146437166224
11,0.00244909923545753
12,0.002495770556739854
13,0.0024478279581779286
14,0.002447658120120271
15,0.0025406900199089802
16,0.00240045401971538
17,0.002437704580173447
18,0.002421438655188002
19,0.0023648699258406037
20,0.002424962037694074
21,0.002426753328546704
22,0.002346229641029203
23,0.0023981637826687003
24,0.002338238003295613
25,0.0024020951119677523
26,0.0023524817579565955
27,0.0023542068940697876
28,0.0023221542473583277
29,0.0023365177377273846
30,0.0023157366389650043
1,0.005545052945128342
1,0.005503268842503103
2,0.0025893310099062354
3,0.00255061925807031
4,0.0025922746890936006
5,0.0025267539703922757
6,0.0025275632278533296
7,0.0024860945671171587
8,0.0025186333169864433
9,0.0025181997212168684
10,0.002529950234476851
11,0.0024367235656114314
12,0.0024738298780132497
13,0.0024911379101676973
14,0.0025180945068749086
15,0.002464611899903447
16,0.0025077470357316653
17,0.002482429442164554
18,0.0024768898177295567
19,0.0025000661358130626
20,0.002434333764659987
21,0.002433686990399998
22,0.002429684949874155
23,0.0024035477318845653
24,0.002431609122499513
25,0.0024294215346944027
26,0.0023991663886905267
27,0.0023953080878294313
28,0.0023856410841958434
29,0.0023946893309285035
30,0.0024033543197890007
1,0.007841115237326458
2,0.00313626108256377
3,0.0026853206817429153
4,0.0026135842978228974
5,0.00256978313336906
6,0.0025351898945236125
7,0.002520429874188696
8,0.002499273453303342
9,0.002489729978200609
10,0.0024920941689773784
11,0.0024950759692373503
12,0.0024815394393076086
13,0.0024676396834519333
14,0.0024701713823145227
15,0.002466940480968152
16,0.0024550520052150477
17,0.0024518540680276823
18,0.0024332335821371275
19,0.002448642345859181
20,0.0024768465718225186
21,0.0024388340147972402
22,0.0024383224691675465
23,0.0024231811023860965
24,0.0024053503096583477
25,0.0023842970460721154
26,0.0023788083381142008
27,0.0023790747622830706
28,0.0023733060238784634
29,0.0023644345842525776
30,0.002355392114304413
1,0.005128568659141319
2,0.0027178315746395
3,0.0026477232600846732
4,0.0025998414780827156
5,0.0025969580496476388
6,0.002571191689723931
7,0.002543361100778697
8,0.0025380419014372746
9,0.0024503084669262438
10,0.0024691736704983273
11,0.002431466066207697
12,0.002460745451116677
13,0.0024032286433940246
14,0.002472597815239267
15,0.0024344717886648575
16,0.002446924790221208
17,0.0023965346584804786
18,0.0024198829261720474
19,0.0025319388165612796
20,0.0024090973349613406
21,0.0024047542193003472
22,0.002436681117977514
23,0.002481037909816784
24,0.0024907971020154264
25,0.0023625755386034483
26,0.0023619457440032924
27,0.00235622419497903
28,0.002337173898963136
29,0.0023437199013394507
30,0.0023414625063204876
1,0.00522535347071208
2,0.002847734708404414
3,0.002632539109358631
4,0.002550076759245502
5,0.002603320378249986
6,0.0026044334514515877
7,0.0025407457380984756
8,0.0024808389804065853
9,0.0025392532693254027
10,0.0024942149209577665
11,0.0025438141308154515
12,0.0025793208443952004
13,0.0024797374690531844
14,0.002461234007831606
15,0.002469624662124314
16,0.002442165525305087
17,0.0024387118379724623
18,0.002417429140934683
19,0.002421299543296089
20,0.002454146954321327
21,0.002420568066191487
22,0.0024316803710730203
23,0.00242013920757022
24,0.002377007246709462
25,0.002393025397966537
26,0.0023737521094394747
27,0.002377636301539039
28,0.002397955305105335
29,0.0023827924213772164
30,0.002412790375346096
1,0.006835763123673057
2,0.003071121356614633
3,0.0026981675010447335
4,0.0025923688980377265
5,0.002577175367530172
6,0.0025574926718502887
7,0.002531750795725327
8,0.002499754933501759
9,0.002515071210571231
10,0.0024865026486777433
11,0.0025105743535843842
12,0.002511080515069693
13,0.0024903031371993917
14,0.0024511758892689253
15,0.0024770722094318047
16,0.0024910405917774594
17,0.0024699507177700316
18,0.0024875095429189313
19,0.0024640597695628264
20,0.002436640419716391
21,0.002452676794513002
22,0.0024179230617375654
23,0.002423998618947284
24,0.002428877472322555
25,0.002412523381894879
26,0.0024331861007080902
27,0.002509909273550086
28,0.0024345267224174074
29,0.002412725198429383
30,0.0024297696811387197
1,0.00537461676268466
2,0.0027990766990982417
3,0.0025594439980214908
4,0.00263550672016956
5,0.0027092123075666205
6,0.002512673238674598
7,0.0025574366041146604
8,0.0025400774678720154
9,0.002497365600253686
10,0.0025087872878115512
11,0.0024872006576325454
12,0.002471533197423687
13,0.002485381166408044
14,0.002521479445939818
15,0.002469639205615524
16,0.0024489018826557496
17,0.0024922097021190426
18,0.0024309367626074107
19,0.002448333090074189
20,0.0024585635427142355
21,0.0023925283108000065
22,0.002401273955945718
23,0.0024112106504503724
24,0.002397206157428948
25,0.002383207786295841
26,0.002350454619134884
27,0.002368694712228284
28,0.0024167418242847377
29,0.002341063971159816
30,0.0023830036590397
1,0.006428119545182519
2,0.0029109276269123963
3,0.002651249769026347
4,0.0025790837190297934
5,0.0025558372344513997
6,0.0025646032907006857
7,0.0025460588823608926
8,0.002535807100468007
9,0.0025168399969019597
10,0.0025235772008416557
11,0.0025459757207860925
12,0.0025298740955846904
13,0.00245568549572538
14,0.002489458929343044
15,0.002478797557231145
16,0.002452852923242818
17,0.002428738165705867
18,0.002469211892441817
19,0.00240935076520367
20,0.0024052376690502247
21,0.002412168208439541
22,0.0024360249904465674
23,0.0024167251563330053
24,0.0024042316587425945
25,0.002370769336028909
26,0.002382914271095959
27,0.002409176945323535
28,0.0023498814891955437
29,0.0023665344467775425
30,0.0023687601318157937
1,0.005761075326098471
2,0.002900106895560282
3,0.002636539466938879
4,0.0026501709021050607
5,0.002577293195898328
6,0.0026326395751106544
7,0.002614664213960074
8,0.00255443171627417
9,0.002502422680246768
10,0.0024773550564961746
11,0.0024980674455069413
12,0.0024816006663531736
13,0.0024888701472660104
14,0.002468782464464194
15,0.0024544584515677295
16,0.0024289192363998644
17,0.002418028364792634
18,0.0024609104400705717
19,0.0024424569346496827
20,0.002478845176863989
21,0.0024184234179858532
22,0.0024174522581403464
23,0.002415859470238411
24,0.0023357022879039583
25,0.002364506804594891
26,0.0023599819425561904
27,0.002387692254323745
28,0.002357780823138334
29,0.0023287879333042435
30,0.0023411800783198094
1,0.005561489392429318
2,0.002801918593968219
3,0.002643608935433499
4,0.00265960892382435
5,0.002627848801823736
6,0.002655103934679656
7,0.0025783719359808006
8,0.002565895410803615
9,0.002520205791529848
10,0.002478091960870778
11,0.0024926920359334003
12,0.002464078664318515
13,0.0024286071715270874
14,0.0024694964166909208
15,0.0025552696528421855
16,0.0024326784037501793
17,0.002415035135653913
18,0.00239944906222957
19,0.0023887125965020494
20,0.002405613930926469
21,0.0024258882165560883
22,0.0024048914881226098
23,0.0023896030588480854
24,0.0023683855796266438
25,0.0023929857112883466
26,0.0023403601133613343
27,0.0024016496302992477
28,0.0023667009918760668
29,0.0023343134980377688
30,0.002358271173347705
1,0.04456336602345364
2,0.02241899795261448
3,0.0066439675985735655
4,0.0034165904702588936
5,0.0032245926512224697
6,0.003285645127408411
7,0.0030452224709135996
8,0.003051606348842842
9,0.0029977834696700307
10,0.0031091010144426606
11,0.0028863969839132957
12,0.003574753488551071
13,0.0029956103366286743
14,0.0032719838022357514
15,0.0029285247965212765
16,0.002931592761508737
17,0.002917191670983836
18,0.002941872059748815
19,0.003002398225026952
20,0.0029129680717211066
21,0.003136579365713301
22,0.0032609701912124124
23,0.0030368436401590755
24,0.0029329447977718744
25,0.003249843457109646
26,0.0035983235157831055
27,0.004788984466309183
28,0.002971916404847312
29,0.003132477690951747
30,0.003095588335217697
1,0.011597642001347512
2,0.00398280166014152
3,0.0031157536256481455
4,0.0028620242633381047
5,0.0027279210137865716
6,0.0027095668950208643
7,0.002747425193228258
8,0.002696651820349455
9,0.0026411949801472966
10,0.002628365858326445
1,0.009509766481609306
2,0.0022785130544480635
3,0.002065342159720646
4,0.002081077007360883
5,0.002055557883757319
6,0.002049829774974138
7,0.0020187630937014644
8,0.001975144328833904
9,0.0019801958730737866
10,0.001960309498429334
11,0.0019604713715521607
12,0.0019518263383485474
13,0.0019372454127251644
14,0.001947626851966393
15,0.0019528205848725643
16,0.0019392177450312728
17,0.00191282813836973
18,0.001935745116998639
19,0.0018878558356295496
20,0.001903908093556528
21,0.0018857011768731726
22,0.0018881168549700353
23,0.0018880394847249086
24,0.0018745728419881065
25,0.001891160513891926
26,0.0018491489726269333
27,0.0018400379668754713
28,0.0018348766725466892
29,0.0017999562079826722
30,0.0017956666643640432
