Round,Loss
1,0.01429080890506248
2,0.003897291258677337
3,0.0035483266281082977
4,0.0034696764110395185
5,0.0031529793152800865
6,0.002877126298456941
7,0.0027375362316796985
8,0.002792241923760057
9,0.0026440470971411585
10,0.0026475448184802857
11,0.0026127381231665927
12,0.002574056696239465
13,0.0026341843714419756
14,0.002571732594262374
15,0.002568577126222504
16,0.00263497573946427
17,0.0024790988107073245
18,0.0025459915825998547
19,0.0025393716027272365
20,0.0025282147296308466
21,0.002646818539473146
22,0.00252413058465465
23,0.0024545148394233707
24,0.0026716269295915768
25,0.002508772556554069
26,0.0025166734367297766
27,0.0024649654138437227
28,0.002496280406188787
29,0.00251320552325554
30,0.002467849613325854
