Round,Loss,Algorithm
1,0.0131888921080514,FedAvg
2,0.0038172928267481,FedAvg
3,0.0030642557591384,FedAvg
4,0.0028093819397644,FedAvg
5,0.0030339151367225,FedAvg
6,0.0027226552438797,FedAvg
7,0.0026905351697197,FedAvg
8,0.0026692309396749,FedAvg
9,0.0026637604819371,FedAvg
10,0.0026400203509669,FedAvg
11,0.0025907181434786,FedAvg
12,0.0026641235720772,FedAvg
13,0.0025468705478154,FedAvg
14,0.0025774847215165,FedAvg
15,0.0026338085702683,FedAvg
16,0.0026454102738199,FedAvg
17,0.0025287710970128,FedAvg
18,0.0025707819373908,FedAvg
19,0.0025960172425369,FedAvg
20,0.002548423645755,FedAvg
21,0.0025529537918309,FedAvg
22,0.0026212341989621,FedAvg
23,0.0026069162019039,FedAvg
24,0.00270801288455,FedAvg
25,0.0025806126594643,FedAvg
26,0.0026024383888397,FedAvg
27,0.0025218886556536,FedAvg
28,0.0025401574025886,FedAvg
29,0.0025160664297465,FedAvg
30,0.0025051134391956,FedAvg
1,0.0128404482348321,SimpleAvg
2,0.0038822901767741,SimpleAvg
3,0.0035174568904108,SimpleAvg
4,0.0031208033122928,SimpleAvg
5,0.0029323787087574,SimpleAvg
6,0.0027591028190195,SimpleAvg
7,0.0026600633513253,SimpleAvg
8,0.0025800032362803,SimpleAvg
9,0.0026106256297345,SimpleAvg
10,0.0026188988899469,SimpleAvg
11,0.0026488126790854,SimpleAvg
12,0.0025877636029553,SimpleAvg
13,0.0025496074844808,SimpleAvg
14,0.0025232996534716,SimpleAvg
15,0.0025549523858563,SimpleAvg
16,0.0026175016925963,SimpleAvg
17,0.0024899772469046,SimpleAvg
18,0.002581590023488,SimpleAvg
19,0.0026044725884071,SimpleAvg
20,0.0025341886288385,SimpleAvg
21,0.0024886864673001,SimpleAvg
22,0.0025350953132259,SimpleAvg
23,0.0028647462814655,SimpleAvg
24,0.0026052149765189,SimpleAvg
25,0.0025047415159266,SimpleAvg
26,0.0024731471509933,SimpleAvg
27,0.0024850307981439,SimpleAvg
28,0.0024902219369993,SimpleAvg
29,0.0025123587620914,SimpleAvg
30,0.0024758915773002,SimpleAvg
1,0.0142908089050624,MedianAvg
2,0.0038972912586773,MedianAvg
3,0.0035483266281082,MedianAvg
4,0.0034696764110395,MedianAvg
5,0.00315297931528,MedianAvg
6,0.0028771262984569,MedianAvg
7,0.0027375362316796,MedianAvg
8,0.00279224192376,MedianAvg
9,0.0026440470971411,MedianAvg
10,0.0026475448184802,MedianAvg
11,0.0026127381231665,MedianAvg
12,0.0025740566962394,MedianAvg
13,0.0026341843714419,MedianAvg
14,0.0025717325942623,MedianAvg
15,0.0025685771262225,MedianAvg
16,0.0026349757394642,MedianAvg
17,0.0024790988107073,MedianAvg
18,0.0025459915825998,MedianAvg
19,0.0025393716027272,MedianAvg
20,0.0025282147296308,MedianAvg
21,0.0026468185394731,MedianAvg
22,0.0025241305846546,MedianAvg
23,0.0024545148394233,MedianAvg
24,0.0026716269295915,MedianAvg
25,0.002508772556554,MedianAvg
26,0.0025166734367297,MedianAvg
27,0.0024649654138437,MedianAvg
28,0.0024962804061887,MedianAvg
29,0.0025132055232555,MedianAvg
30,0.0024678496133258,MedianAvg
