Alpha,Round,Client,Loss,Samples,RMSE,MAE,NRMSE,Algorithm
0.3,1,Client_3,0.004428332185634732,27939,0.06599926203489304,0.03709067031741142,0.09488626569509506,FedProx
0.3,1,Client_2,0.004687401086959301,14451,0.06289234012365341,0.03573991730809212,0.11572238057851791,FedProx
0.3,1,Client_1,0.004466016090907746,22407,0.06443672627210617,0.03563394024968147,0.10619990527629852,FedProx
0.3,2,Client_1,0.004415739835993816,22407,0.06400320678949356,0.036570921540260315,0.10548541694879532,FedProx
0.3,2,Client_2,0.004651099009414605,14451,0.06540670990943909,0.03804928436875343,0.0940343588590622,FedProx
0.3,2,Client_3,0.004367172623248402,27939,0.06238039210438728,0.03672127053141594,0.11478038877248764,FedProx
0.3,3,Client_3,0.004354254186531095,27939,0.06223135441541672,0.037254467606544495,0.11450615525245667,FedProx
0.3,3,Client_1,0.004415291641472903,22407,0.06521685421466827,0.03856009244918823,0.09376140683889389,FedProx
0.3,3,Client_2,0.0046288499802154106,14451,0.06388348340988159,0.0370929017663002,0.10528809577226639,FedProx
0.3,4,Client_3,0.004342142202911656,27939,0.06527385115623474,0.04142424464225769,0.09384334832429886,FedProx
0.3,4,Client_1,0.004394792830700912,22407,0.06247221678495407,0.040254682302474976,0.11494934558868408,FedProx
0.3,4,Client_2,0.004614167255113289,14451,0.0642310380935669,0.04001864045858383,0.10586091130971909,FedProx
0.3,5,Client_1,0.004355535478334899,22407,0.06512565165758133,0.03822238743305206,0.09363028407096863,FedProx
0.3,5,Client_3,0.004327894498527988,27939,0.0637630969285965,0.03674996271729469,0.10508967936038971,FedProx
0.3,5,Client_2,0.004621071081093498,14451,0.06212855502963066,0.0369027704000473,0.11431700736284256,FedProx
0.3,6,Client_3,0.004301557132878458,27939,0.06532979756593704,0.04227306321263313,0.09392378479242325,FedProx
0.3,6,Client_2,0.004589497174940877,14451,0.06436771899461746,0.040866125375032425,0.10608617961406708,FedProx
0.3,6,Client_1,0.004371727996044523,22407,0.0625893846154213,0.04114212095737457,0.11516493558883667,FedProx
0.3,7,Client_2,0.004536666836563943,14451,0.06210463494062424,0.03616946190595627,0.11427299678325653,FedProx
0.3,7,Client_3,0.004309437149167937,27939,0.06369579583406448,0.03603231906890869,0.1049787625670433,FedProx
0.3,7,Client_1,0.004328476804373039,22407,0.06513860821723938,0.037492960691452026,0.09364891052246094,FedProx
0.3,8,Client_2,0.004540189723837467,14451,0.06346708536148071,0.03733482211828232,0.10460181534290314,FedProx
0.3,8,Client_3,0.004280459478835915,27939,0.06474132090806961,0.038776811212301254,0.09307773411273956,FedProx
0.3,8,Client_1,0.004325595134997382,22407,0.061804357916116714,0.03750798478722572,0.11372048407793045,FedProx
0.3,9,Client_1,0.004317436287811595,22407,0.062427818775177,0.04148736968636513,0.11486765742301941,FedProx
0.3,9,Client_2,0.004506704673280964,14451,0.0642070546746254,0.041202936321496964,0.10582137852907181,FedProx
0.3,9,Client_3,0.004275916245048569,27939,0.06512276083230972,0.042592793703079224,0.09362612664699554,FedProx
0.3,10,Client_3,0.004267666177918481,27939,0.06456546485424042,0.03785684332251549,0.09282491356134415,FedProx
0.3,10,Client_2,0.00451449178522953,14451,0.06320832669734955,0.03639976680278778,0.10417535156011581,FedProx
0.3,10,Client_1,0.004322557257821114,22407,0.061590272933244705,0.036549437791109085,0.11332656443119049,FedProx
0.3,11,Client_3,0.0042363486534700125,27939,0.06428951025009155,0.038251496851444244,0.09242817759513855,FedProx
0.3,11,Client_2,0.004472424025882314,14451,0.06299570202827454,0.036815714091062546,0.1038249209523201,FedProx
0.3,11,Client_1,0.004281730087510815,22407,0.0613568015396595,0.03697960823774338,0.11289697140455246,FedProx
0.3,12,Client_1,0.004266374212751054,22407,0.06489089131355286,0.03619324415922165,0.09329277276992798,FedProx
0.3,12,Client_2,0.00451420423441012,14451,0.06331703811883926,0.0347563736140728,0.10435452312231064,FedProx
0.3,12,Client_3,0.004221311795541142,27939,0.06182131916284561,0.034852154552936554,0.11375169456005096,FedProx
0.3,13,Client_3,0.0041718490466587325,27939,0.060828182846307755,0.037289004772901535,0.11192431300878525,FedProx
0.3,13,Client_2,0.004412685642104152,14451,0.06369931995868683,0.03851234167814255,0.09157966822385788,FedProx
0.3,13,Client_1,0.004197602130497762,22407,0.06247742474079132,0.03711545839905739,0.10297073423862457,FedProx
0.3,14,Client_3,0.00412946026859865,27939,0.06050557270646095,0.03808700293302536,0.11133071035146713,FedProx
0.3,14,Client_1,0.004152387414961087,22407,0.06217845901846886,0.03790875896811485,0.10247799754142761,FedProx
0.3,14,Client_2,0.004421545118740056,14451,0.06329380720853806,0.03926017880439758,0.09099666774272919,FedProx
0.3,15,Client_1,0.004111445638756717,22407,0.0597045011818409,0.03753416985273361,0.1098567321896553,FedProx
0.3,15,Client_2,0.00429705559272138,14451,0.06246228516101837,0.03869696334004402,0.08980119973421097,FedProx
0.3,15,Client_3,0.004067946129450957,27939,0.061352211982011795,0.03736855462193489,0.10111624002456665,FedProx
0.3,16,Client_3,0.003920979269359238,27939,0.06151476502418518,0.03505838289856911,0.0884389579296112,FedProx
0.3,16,Client_1,0.004003260041532357,22407,0.05861575901508331,0.03379856422543526,0.10785343497991562,FedProx
0.3,16,Client_2,0.004163352538414644,14451,0.06010168790817261,0.033689819276332855,0.099055215716362,FedProx
0.3,17,Client_1,0.0037864129410505806,22407,0.058848556131124496,0.03546707704663277,0.08460579067468643,FedProx
0.3,17,Client_3,0.003744872167444876,27939,0.05767599493265152,0.0342244952917099,0.09505736827850342,FedProx
0.3,17,Client_2,0.004082925384595542,14451,0.05616297945380211,0.03430003672838211,0.10334030538797379,FedProx
0.3,18,Client_3,0.0033510625901897323,27939,0.05265151336789131,0.028603974729776382,0.08677638322114944,FedProx
0.3,18,Client_2,0.003632971778579154,14451,0.05408242717385292,0.029764454811811447,0.07775358855724335,FedProx
