split,algorithm,rmse
0.01,FedAvg,0.027640879154205267
0.01,FedNova,0.03171635605394837
0.01,FedProx,0.034860295554002066
0.01,RAFedAvg,0.032400490716099704
0.05,FedAvg,0.033513196433583865
0.05,FedNova,0.0442556850612163
0.05,FedProx,0.0383561526735623
0.05,RAFedAvg,0.03348340404530364
0.1,FedAvg,0.030055628468592933
0.1,FedNova,0.031209096312522833
0.1,FedProx,0.03392439335584637
0.1,RAFedAvg,0.030661425863703035
0.2,FedAvg,0.0314502095182736
0.2,FedNova,0.040370918810367536
0.2,FedProx,0.03879034519195553
0.2,RAFedAvg,0.030387906978527668
0.3,FedAvg,0.029872541626294432
0.3,FedNova,0.0354322629670302
0.3,FedProx,0.03591466819246606
0.3,RAFedAvg,0.030076772595445264
0.5,FedAvg,0.030896771699190067
0.5,FedNova,0.05051418518026663
0.5,FedProx,0.0360838944713274
0.5,RAFedAvg,0.0308587147543827
1.0,FedAvg,0.0295039241512616
1.0,FedNova,0.04236010586222006
1.0,FedProx,0.03783431152502693
1.0,RAFedAvg,0.03027356974780553
