split,algorithm,rmse
0.01,FedAvg,0.026509734553595333
0.01,FedNova,0.1285116461416085
0.01,FedProx,0.02898515326281383
0.01,RAFedAvg,0.026086892932653368
0.05,FedAvg,0.04569339019556837
0.05,FedNova,0.18754713733990988
0.05,FedProx,0.04844054083029426
0.05,RAFedAvg,0.0484406600395838
0.1,FedAvg,0.027874868238965667
0.1,FedNova,0.1010423178474108
0.1,FedProx,0.02941103155414257
0.1,RAFedAvg,0.026923934618631934
0.2,FedAvg,0.04273664173152706
0.2,FedNova,0.17388468980789185
0.2,FedProx,0.04250728835662201
0.2,RAFedAvg,0.045013566811879464
0.3,FedAvg,0.03742904381619553
0.3,FedNova,0.1426555265982945
0.3,FedProx,0.037829278657833705
0.3,RAFedAvg,0.037143558263778666
0.5,FedAvg,0.049690032833152264
0.5,FedNova,0.1930215209722519
0.5,FedProx,0.0490532927215099
0.5,RAFedAvg,0.05018222456177074
1.0,FedAvg,0.043492915895250034
1.0,FedNova,0.17205086847146348
1.0,FedProx,0.04329201827446613
1.0,RAFedAvg,0.043951963384946134
