Client,Split,Algorithm,MAE,RMSE,NRMSE
1,0.01,FedAvg,0.01408000010997057,0.029340961948037148,0.03742849454283714
2,0.01,FedAvg,0.013955427333712578,0.02836475521326065,0.040779631584882736
3,0.01,FedAvg,0.01291257981210947,0.02521692030131817,0.04974006116390228
1,0.01,FedNova,0.01603960618376732,0.03284042701125145,0.04189255088567734
2,0.01,FedNova,0.016065940260887146,0.03217906504869461,0.04626341536641121
3,0.01,FedNova,0.015548973344266415,0.030129576101899147,0.05943021550774574
1,0.01,FedProx,0.020252292975783348,0.036087438464164734,0.046034567058086395
2,0.01,FedProx,0.01970369927585125,0.03404392674565315,0.04894450306892395
3,0.01,FedProx,0.019438236951828003,0.03444952145218849,0.0679512545466423
1,0.01,RAFedAvg,0.01598513498902321,0.03346221521496773,0.04268572852015495
2,0.01,RAFedAvg,0.015871329233050346,0.03260860592126846,0.04688096046447754
3,0.01,RAFedAvg,0.015326159074902534,0.031130651012063026,0.06140482425689697
1,0.05,FedAvg,0.013417666777968407,0.029291735962033272,0.04497285559773445
2,0.05,FedAvg,0.014280036091804504,0.033483557403087616,0.04505104571580887
3,0.05,FedAvg,0.01450400985777378,0.0377642959356308,0.07244517654180527
1,0.05,FedNova,0.024888841435313225,0.040234170854091644,0.06177324429154396
2,0.05,FedNova,0.026133673265576363,0.04555676877498627,0.06129516288638115
3,0.05,FedNova,0.027856633067131042,0.04697611555457115,0.09011668711900711
1,0.05,FedProx,0.01835395023226738,0.03482253476977348,0.05346452817320824
2,0.05,FedProx,0.019803766161203384,0.039505571126937866,0.053153473883867264
3,0.05,FedProx,0.02111993543803692,0.040740352123975754,0.0781543031334877
1,0.05,RAFedAvg,0.018271926790475845,0.030769264325499535,0.047241367399692535
2,0.05,RAFedAvg,0.0190426055341959,0.03532692790031433,0.04753124341368675
3,0.05,RAFedAvg,0.019737860187888145,0.03435401991009712,0.06590307503938675
1,0.1,FedAvg,0.015064924955368042,0.027990330010652542,0.051166389137506485
2,0.1,FedAvg,0.01556000579148531,0.030950140208005905,0.03750322759151459
3,0.1,FedAvg,0.0168134942650795,0.031226415187120438,0.06628170609474182
1,0.1,FedNova,0.014967027120292187,0.02952592447400093,0.05397346243262291
2,0.1,FedNova,0.015644771978259087,0.03222009167075157,0.039042066782712936
3,0.1,FedNova,0.016549862921237946,0.03188127279281616,0.06767171621322632
1,0.1,FedProx,0.015469629317522049,0.03307395428419113,0.06045926734805107
2,0.1,FedProx,0.016404418274760246,0.03556298837065697,0.0430927537381649
3,0.1,FedProx,0.017152447253465652,0.033136237412691116,0.07033552974462509
1,0.1,RAFedAvg,0.015600339509546757,0.029698744416236877,0.05428937450051308
2,0.1,RAFedAvg,0.015986595302820206,0.03140188008546829,0.038050614297389984
3,0.1,RAFedAvg,0.016974179074168205,0.030883653089404106,0.06555415689945221
1,0.2,FedAvg,0.0154922716319561,0.038892969489097595,0.06730516254901886
